vol,logmean,gap_area_percent,forest_map,closed,open,other,fire,fire_bb,w,year
0,2.6377371886597,82.1388888888889,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
8.14040208119638,1.97365246381294,92.5277777777778,other,0,0,1,1,1,2.32727265357971,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
27.3272470328969,2.03059121768418,69.1944444444444,closed,1,0,0,0,1,2.32727265357971,2022
70.1838855651115,1.88341801678225,51.6388888888889,closed,1,0,0,0,1,4.65454530715942,2022
0,2.4385888176004,96.6944444444444,other,0,0,1,0,1,1,2022
0,1.74288302190263,74.4444444444444,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,1,1,1,2022
0,1.71326080387017,98.9166666666667,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
7.27155650177073,1.96827154865815,98.9722222222222,other,0,0,1,0,1,8,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
6.80859436862796,1.69737802514032,98.0277777777778,closed,1,0,0,0,1,4.65454530715942,2022
54.0606581534161,1.76648202588757,50.7222222222222,closed,1,0,0,0,1,4.65454530715942,2022
0,1.76984195276142,99.1666666666667,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,1.91146154396747,97.4166666666667,other,0,0,1,0,1,1,2022
0,1.88058639283391,46.3888888888889,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,4,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,1.89970427772368,94.6111111111111,open,0,1,0,0,1,4,2022
0,0,100,other,0,0,1,0,1,1,2022
18.2029135741943,2.42576122590395,81.8055555555556,other,0,0,1,0,1,4.65454530715942,2022
0,1.93088422260211,95.0833333333333,other,0,0,1,1,1,8,2022
0,0,100,other,0,0,1,0,1,1,2022
0,1.80147452548115,90.5833333333333,other,0,0,1,0,1,1,2022
0,1.9819748254352,89.75,open,0,1,0,1,1,2.32727265357971,2022
0,1.82319564347895,98.3055555555556,other,0,0,1,0,1,1,2022
0,1.91234326037689,71.8333333333333,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,open,0,1,0,0,1,4,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
5.90025796430339,1.69100707054985,99.4444444444444,other,0,0,1,0,1,4.65454530715942,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
